x,y,velocidad,pedal,giro,step,reward_instantaneo,reward_acumulado,jerk_volante
0.19760809129152662,9.832410604666245,315.3603373776646,1.0,0.59281003,0,9.85668672012323,9.85668672012323,0.59281003
0.5587210104468339,18.60245520343974,315.9891357421875,1.0,0.2750432,1,9.8095051643976,19.666191884520828,0.31776685
0.9980668527306544,27.38585081567608,316.5975646972656,1.0,-0.13486817,2,4.854419614331339,24.520611498852166,0.40991136
1.4869811366903343,36.183006068913826,317.1863098144531,1.0,-0.084598705,3,9.590510258892886,34.11112175774505,0.05026947
2.0210545628605616,44.993388549386125,317.7559814453125,1.0,-0.07666302,4,9.582898124612525,43.69401988235758,0.007935688
2.59026838297149,53.81691374270742,318.30718994140625,1.0,-0.059100345,5,9.556971573858013,53.250991456215594,0.017562672
3.193630628094436,62.653019611695065,318.8405456542969,1.0,-0.057213753,6,4.588355135797025,57.83934659201262,0.0018865913
3.8208957925909686,71.5018324766525,319.35662841796875,1.0,-0.03943064,7,9.525324465885252,67.36467105789787,0.017783113
4.4815582685532585,80.36212505525418,319.85601806640625,1.0,-0.055637702,8,9.441578698745499,76.80624975664337,0.016207062
5.152518145810711,89.23510482440577,320.3392333984375,1.0,-0.015928365,9,9.414784040927213,86.22103379757058,0.039709337
5.870781976584146,98.11741176054004,320.80682373046875,1.0,-0.0791968,10,4.396192404207108,90.6172262017777,0.06326844
6.565937846836078,107.01416273016535,321.2592468261719,1.0,0.041156232,11,9.419154684521505,100.0363808862992,0.120353036
7.362146271605201,115.91464981828058,321.6970520019531,1.0,-0.1705225,12,9.399827544295306,109.4362084305945,0.21167873
8.263240330814515,124.81695868429088,322.1206970214844,1.0,-0.17671923,13,9.389854886659922,118.82606331725442,0.0061967373
9.586685682664223,133.67785469627853,322.5306396484375,1.0,-0.71781975,14,9.382165072675962,128.20822838993038,0.5411005
10.822613219729554,142.56250576147113,322.92730712890625,1.0,0.152034,15,4.441490275707947,132.64971866563832,0.86985373
12.045723631148947,151.45969327577424,323.3111572265625,1.0,0.024302065,16,9.45942631575234,142.10914498139067,0.12773193
13.243447860708727,160.3707441534781,323.6825866699219,1.0,0.045482963,17,9.493521830684683,151.60266681207534,0.021180898
14.425547604780384,169.29395282021835,324.0420227050781,1.0,0.028726742,18,9.509907630206776,161.11257444228212,0.016756222
15.58508957118305,178.2298632640054,324.38983154296875,1.0,0.04029444,19,9.429617873055783,170.5421923153379,0.011567697
16.72849494003236,187.17727832492486,324.7264099121094,1.0,0.029270574,20,4.49504538776969,175.0372377031076,0.011023864
17.854185933355055,196.13605814914763,325.0521240234375,1.0,0.03178379,21,9.521770965554941,184.55900866866253,0.002513215
18.965218533363274,205.10548978608367,325.3673095703125,1.0,0.02649638,22,9.514867280900253,194.0738759495628,0.005287409
20.060841334866353,214.08535082780853,325.6722717285156,1.0,0.027631685,23,9.457445216868589,203.53132116643138,0.0011353046
21.1432574080505,223.07507168296746,325.9674377441406,1.0,0.023813277,24,9.477526514999978,213.00884768143135,0.0038184077
22.21203272375825,232.0744131417694,326.2530212402344,1.0,0.024429873,25,4.45354028468796,217.4623879661193,0.00061659515
23.269012484899374,241.0828771938134,326.5293884277344,1.0,0.021237642,26,9.461278913851535,226.92366687997085,0.003192231
24.31389534575432,250.1002305978474,326.79681396484375,1.0,0.021645308,27,9.469125978217109,236.39279285818796,0.00040766597
25.345943514408688,259.1262982768191,327.0556335449219,1.0,0.022783026,28,9.444620968540518,245.83741382672846,0.0011377186
26.365289918400837,268.1608097177016,327.3060607910156,1.0,0.022469819,29,9.408863447833136,255.2462772745616,0.0003132075
27.372846876168293,277.2034169086006,327.54840087890625,1.0,0.020865008,30,9.339467453797024,264.58574472835863,0.0016048104
28.36882466792427,286.25386079611616,327.7829284667969,1.0,0.02043502,31,4.385935098640599,268.9716798269992,0.0004299879
29.353856589031942,295.3118433145375,328.0098571777344,1.0,0.019307315,32,9.330140247444778,278.301820074444,0.001127705
30.33048253065097,304.37687146348674,328.2294616699219,1.0,0.015026078,33,9.350631894364335,287.6524519688083,0.0042812377
31.300113460142327,313.4485875979937,328.4419860839844,1.0,0.012629032,34,9.340173103080575,296.9926250718889,0.0023970455
32.261896870778905,322.52688379377827,328.64764404296875,1.0,0.013984516,35,9.329857862862434,306.3224829347513,0.0013554841
33.21816945476339,331.6113214661624,328.8466796875,1.0,0.010068774,36,4.28393439346541,310.6064173282167,0.003915742
34.16513763732088,340.7021117616694,329.03924560546875,1.0,0.016284555,37,9.266913861993908,319.8733311902106,0.006215781
35.111208146779276,349.7981995790659,329.2255859375,1.0,0.0023650974,38,9.22365390034139,329.096985090552,0.013919458
36.0392180137841,358.9011828347322,329.4059143066406,1.0,0.030614614,39,9.21006131077657,338.30704640132853,0.028249517
36.989579971769146,368.0067332091776,329.5804138183594,1.0,-0.035994515,40,9.191880130569023,347.49892653189755,0.06660913
37.872275927039674,377.123805209482,329.7492980957031,1.0,0.11210324,41,9.18242168111545,356.681348213013,0.14809775
38.83994726154266,386.23681585876676,329.9127502441406,1.0,-0.13896443,42,4.18101297011469,360.8623611831277,0.25106767
39.66815294937773,395.36796910311546,330.0708923339844,1.0,0.22978412,43,9.16400489718528,370.026366080313,0.36874855
40.58010493045367,404.4954105298644,330.2239074707031,1.0,-0.13675757,44,9.191952738949094,379.2183188192621,0.36654168
41.47634489514923,413.62854269875703,330.3720397949219,1.0,0.026438817,45,9.180532397714526,388.3988512169766,0.16319638
42.40297911660553,422.76264247148646,330.5153503417969,1.0,-0.049181342,46,9.167714389808285,397.5665656067849,0.07562016
43.22917843730911,431.9102424273368,330.654052734375,1.0,0.16509219,47,9.156500234798449,406.7230658415833,0.21427353
44.127508920958604,441.05478685992205,330.78826904296875,1.0,-0.11747213,48,4.106098934813971,410.8291647763973,0.2825643
44.99172016931118,450.20624272743015,330.91815185546875,1.0,0.056380972,49,9.131737565059206,419.9609023414565,0.1738531
45.92001283070088,459.3549294025191,331.0438232421875,1.0,-0.104229435,50,9.14914963124852,429.11005197270504,0.16061041
46.68792691710177,468.5218622768625,331.16546630859375,1.0,0.2624821,51,9.13975576618799,438.249807738893,0.36671156
47.522065102640546,477.68628966044395,331.2831726074219,1.0,-0.10760237,52,9.129627806961752,447.3794355458548,0.37008446
48.416543694488965,486.84820320076284,331.3970642089844,1.0,-0.0979913,53,9.115901228921638,456.49533677477643,0.00961107
49.22326734680466,496.02133412951576,331.5072937011719,1.0,0.14358605,54,9.094619114854655,465.5899558896311,0.24157736
50.08600565556986,505.19234228687947,331.61395263671875,1.0,-0.09086089,55,4.107892439721401,469.6978483293525,0.23444694
50.99805986902985,514.3614584538193,331.7171630859375,1.0,-0.079935506,56,9.07152399706809,478.7693723264206,0.010925382
51.72704627099545,523.5497255510907,331.8170471191406,1.0,0.29846597,57,9.08385436244984,487.8532266888704,0.37840146
52.50666873656108,532.7365299776858,331.9137268066406,1.0,-0.08199914,58,9.089868277440981,496.9430949663114,0.3804651
53.333084926550555,541.9218519806647,332.00726318359375,1.0,-0.07574089,59,9.07695041703883,506.0200453833502,0.0062582493
54.20185967409579,551.1057908127318,332.0978088378906,1.0,-0.06852083,60,9.02989712089418,515.0499425042443,0.0072200596
55.04090495741231,560.2949373376085,332.1854248046875,1.0,0.048705354,61,4.033015748749967,519.0829582529943,0.11722618
55.91694915429602,569.4829960427431,332.27020263671875,1.0,-0.059782207,62,9.028810674968348,528.1117689279627,0.10848756
56.692405528347436,578.6823770746324,332.35223388671875,1.0,0.16371301,63,9.045633402386569,537.1574023303492,0.22349522
57.50429641899534,587.880828513182,332.431640625,1.0,-0.058832213,64,9.036196923850982,546.1935992542002,0.22254522
58.34997248122018,597.0783780824706,332.5084533691406,1.0,-0.054528028,65,9.01450818129725,555.2081074354975,0.0043041855
59.22606614071702,606.2751545163879,332.5827941894531,1.0,-0.049059406,66,8.996249550572804,564.2043569860703,0.005468622
59.96218631090266,615.4861968738454,332.6547546386719,1.0,0.22728084,67,8.992957534605772,573.1973145206761,0.27634025
60.731187320375234,624.6964927662857,332.724365234375,1.0,-0.053025335,68,4.01727331011778,577.2145878307938,0.28030616
61.53208272337631,633.9059480150751,332.7917175292969,1.0,-0.051423892,69,9.003253366892974,586.2178411976868,0.0016014427
62.36290817951236,643.1145703125796,332.85693359375,1.0,-0.048239022,70,8.987518546770211,595.2053597444569,0.00318487
63.204752183970704,652.3239513665932,332.9200134277344,1.0,-0.017595887,71,8.970699760290891,604.1760595047479,0.030643135
64.0374445501942,661.5358675874451,332.9810791015625,1.0,0.015072569,72,8.982493608561992,613.1585531133098,0.032668456
64.84161548170444,670.7519648480736,333.0401611328125,1.0,0.046413198,73,8.990571970945796,622.1491250842556,0.03134063
65.60125233009913,679.973432796257,333.0973205566406,1.0,0.07227717,74,4.0015601698424685,626.1506852540981,0.025863975
66.29900233714876,689.2013311211317,333.15264892578125,1.0,0.100261465,75,9.00175873025812,635.1524439843562,0.027984291
66.91959820709334,698.4362302111917,333.2062072753906,1.0,0.12482181,76,8.997595913970327,644.1500398983266,0.024560347
67.44838465330491,707.6782826360318,333.2580261230469,1.0,0.14834644,77,9.024785491894752,653.1748253902213,0.023524627
67.85950676170738,716.927710468658,333.30816650390625,1.0,0.18988721,78,9.0393168182576,662.2141422084788,0.04154077
68.0990768664669,726.1845189403135,333.356689453125,1.0,0.27651417,79,9.043622184094225,671.2577643925731,0.08662696
68.4005337273349,735.4408240250261,333.4036560058594,1.0,-0.09962255,80,9.07365739817821,680.3314217907513,0.37613672
68.77005770601734,744.6959258153915,333.4491271972656,1.0,-0.109567806,81,4.090262376325003,684.4216841670763,0.0099452585
69.19743756306538,753.9497584557062,333.4930725097656,1.0,-0.09311536,82,9.12505979658075,693.546743963657,0.016452447
69.67418067781541,763.2023634489295,333.53564453125,1.0,-0.07943205,83,9.13968185908754,702.6864258227446,0.013683312
70.17049469818656,772.4550853450056,333.57684326171875,1.0,-0.0314323,84,9.162202796780036,711.8486286195246,0.047999747
70.6922715534069,781.7075142981596,333.6166687011719,1.0,-0.040921174,85,9.170854473052138,721.0194830925767,0.009488873
71.21452802531569,790.9609885540008,333.65521240234375,1.0,-0.0006754175,86,9.176993185652648,730.1964762782294,0.040245757
71.77391201204591,800.2133312772582,333.6925354003906,1.0,-0.059703764,87,9.17706882434631,739.3735451025757,0.059028346
72.25628844935811,809.471012490358,333.7286376953125,1.0,0.124090895,88,4.246267047919385,743.619812150495,0.18379466
