x_m,y_m,w_tr_right_m,w_tr_left_m,ideal_speed,ideal_x,ideal_y
17.240348,180.147661,5.597,5.825,332.27167792792795,17.3578385795024,180.87915366220219
17.7368,185.12067,5.593,5.822,332.6770833333333,17.752689731436575,185.4834904866325
18.234175,190.093621,5.589,5.819,333.0728594802772,18.163996239333002,190.2210661437544
18.732387,195.066521,5.585,5.816,333.43059576490714,18.68620296857594,195.97216992427337
19.231352,200.039376,5.581,5.813,333.6690056564514,19.045267230890147,199.92187680972972
19.730983,205.012193,5.577,5.81,333.9072560759708,19.445308285656225,204.4350535787992
20.231195,209.984979,5.573,5.807,334.1451682698931,19.932257373998922,210.14329849826154
20.731903,214.95774,5.569,5.804,334.38308046381536,20.419206462341663,215.8515434177238
21.23302,219.930483,5.565,5.801,334.50203656077656,20.66268100651304,218.70566587745498
21.734462,224.903214,5.561,5.798,334.73994875469884,21.149630094855738,224.41391079691732
22.236141,229.875939,5.557,5.795,334.9778609486211,21.636579183198478,230.1221557163796
22.737974,234.848665,5.553,5.792,335.1389521356283,22.021604007650666,234.7093889826803
23.239874,239.821399,5.549,5.789,335.36861299029243,22.44139925483755,239.71694835308182
23.741756,244.794148,5.545,5.786,335.7511429860762,22.919682963069675,245.41246219334053
24.243534,249.766917,5.541,5.783,336.0803150262076,23.318024714899224,250.1031688014601
24.745122,254.739713,5.537,5.78,336.40242972567233,23.802118228194544,255.46169076572326
25.246434,259.712543,5.533,5.777,336.61710956376623,24.149821983018313,259.2952887159659
25.747386,264.685414,5.529,5.774,336.9391293209071,24.671377615253974,265.04568564132995
26.247892,269.658331,5.525,5.771,337.1272568607609,25.03288264126205,269.1566470994803
26.747865,274.631302,5.521,5.768,337.39368588009165,25.58333305469189,275.48774110449995
27.24722,279.604332,5.517,5.765,337.57127502714155,25.94352766150749,279.66871185660864
27.745872,284.577429,5.513,5.762,337.83738816811774,26.423140560441738,285.58393761013116
28.243735,289.550599,5.509,5.759,338.0110412247708,26.81422713264905,290.29706049294964
28.740723,294.523848,5.505,5.756,338.0774546068506,27.07946839020994,293.3686011875146
29.236751,299.497184,5.501,5.753,338.21028137101035,27.6099509053316,299.51168257664443
29.731734,304.470612,5.497,5.75,338.3431081351701,28.14043342045329,305.6547639657742
30.225584,309.444139,5.495,5.746,338.4095215172499,28.405674678014137,308.7263046603391
30.718218,314.417772,5.514,5.726,338.54234828140966,28.936157193135827,314.86938604946897
31.209548,319.391516,5.534,5.706,338.67517504556935,29.46663970825753,321.01246743859883
31.699491,324.36538,5.553,5.686,338.7415884276492,29.731880965818377,324.0840081331637
32.187959,329.339368,5.572,5.666,338.8741535944984,30.146335902971273,328.858559519663
32.674867,334.313489,5.592,5.646,339.3166527021366,30.663377208893095,334.77999442678896
33.160131,339.287747,5.611,5.626,340.07073732718897,31.081587481406316,339.5489352011292
33.643663,344.26215,5.631,5.606,340.82482195224134,31.49979775391958,344.31787597546946
34.125379,349.236705,5.65,5.586,341.2135473841044,31.940957624586233,349.35662100196976
34.605192,354.211417,5.669,5.566,341.4390950965155,32.4236258768496,354.92872160672266
35.083018,359.186294,5.689,5.545,341.5894384053893,32.76251801154527,358.8471619141413
35.558774,364.161342,5.708,5.525,341.81495336869995,33.27085621358877,364.7248223752692
36.032446,369.136561,5.728,5.505,341.96529694712746,33.60975484671076,368.64416732024654
36.504069,374.111949,5.747,5.485,342.0,34.107920124239186,374.65994719658516
36.973682,379.087504,5.745,5.468,342.0,34.43862163636423,378.662759891759
37.441326,384.063223,5.728,5.454,342.0,34.95968158324804,384.84172286484437
37.907038,389.039102,5.712,5.44,342.0,35.32700774249409,389.1004543465011
38.370856,394.01514,5.695,5.425,342.0,35.694333901740166,393.3591858281579
