Distance,X,Y,Speed
0.0,,,
2.0,-1371.5277680310946,-651.4357337114401,321.7456093934693
4.0,-1369.384601610388,-626.2968101334635,321.8467231641178
6.0,-1367.2414351896814,-601.1578865554868,321.9478369347663
8.0,-1365.0982687689748,-576.0189629775102,322.0489507054148
10.0,-1362.9551023482682,-550.8800393995336,322.15006447606333
12.0,-1360.8119359275615,-525.7411158215571,322.25117824671185
14.0,-1358.668769506855,-500.6021922435804,322.35229201736036
16.0,-1356.5256030861483,-475.4632686656038,322.45340578800887
18.0,-1354.382436665442,-450.3243450876272,322.5545195586574
20.0,-1352.2392702447353,-425.1854215096506,322.6556333293059
22.0,-1350.0961038240287,-400.04649793167397,322.7567470999544
24.0,-1347.952937403322,-374.9075743536974,322.8578608706029
26.0,-1345.8757388728977,-350.57834348876696,322.9589327140599
28.0,-1344.695849743986,-337.2697593576058,323.243607819228
30.0,-1343.667663286971,-325.82802828348605,323.6551461342072
32.0,-1342.639476829956,-314.3862972093664,324.0666844491864
34.0,-1341.611290372941,-302.94456613524665,324.4782227641657
36.0,-1340.5831039159261,-291.502835061127,324.88976107914493
38.0,-1339.5549174589112,-280.06110398700724,325.30129939412416
40.0,-1338.5267310018962,-268.61937291288757,325.7128377091034
42.0,-1337.445543099299,-256.5789494263625,326.0370793101103
44.0,-1336.241984212049,-243.1562508111957,326.15976820385754
46.0,-1335.0384253247987,-229.7335521960289,326.2824570976048
48.0,-1333.8348664375485,-216.3108535808621,326.405145991352
50.0,-1332.4620788866275,-200.9147674049749,326.52771066616924
52.0,-1330.7060902918986,-181.05014642710202,326.6499940598925
54.0,-1328.9501016971694,-161.18552544922915,326.7722774536157
56.0,-1327.1941131024403,-141.32090447135624,326.89456084733894
58.0,-1325.4381245077113,-121.45628349348337,327.01684424106213
60.0,-1323.6821359129822,-101.59166251561048,327.1391276347854
62.0,-1321.926147318253,-81.7270415377376,327.26141102850863
64.0,-1320.1701587235239,-61.86242055986472,327.3836944222318
66.0,-1318.414170128795,-41.99779958199184,327.5059778159551
68.0,-1316.6557561709492,-22.18781475268716,327.6281714426804
70.0,-1314.8873080095336,-2.603870400880929,327.7499936857047
72.0,-1313.118859848118,16.980073950925295,327.8718159287289
74.0,-1311.3504116867027,36.564018302731526,327.99363817175316
76.0,-1309.5584526251755,56.362080962461384,328.14085795884364
78.0,-1307.765198121321,76.17194146565245,328.2894771416798
80.0,-1305.9719436174666,95.98180196884351,328.43809632451604
82.0,-1304.178689113612,115.79166247203459,328.5867155073522
84.0,-1302.3854346097576,135.60152297522566,328.73533469018844
86.0,-1300.5921801059033,155.41138347841672,328.8839538730246
88.0,-1298.7594133039631,175.79408756099343,329.03252084537917
90.0,-1296.6137737763495,200.71277514114746,329.1806743961789
92.0,-1294.4681342487356,225.6314627213015,329.32882794697866
94.0,-1292.3224947211218,250.55015030145552,329.4769814977784
96.0,-1290.1768551935081,275.46883788160955,329.6251350485782
98.0,-1288.0312156658943,300.3875254617636,329.77328859937796
100.0,-1285.8855761382804,325.3062130419176,329.9214421501777
102.0,-1283.7399366106667,350.22490062207163,330.0695957009775
104.0,-1281.5942970830529,375.14358820222566,330.21774925177726
106.0,-1279.448657555439,400.0622757823797,330.365902802577
108.0,-1277.3030180278251,424.9809633625337,330.51405635337676
110.0,-1275.1573785002115,449.89965094268774,330.66220990417656
112.0,-1273.0117389725976,474.81833852284177,330.8103634549763
114.0,-1270.8660994449838,499.7370261029958,330.95851700577606
116.0,-1268.9016556469567,522.7911030085619,331.0
118.0,-1267.0076768548797,545.1200535406772,331.0
120.0,-1265.22831436449,566.1380959963575,331.0
122.0,-1263.579264343875,585.66570762699,331.0
124.0,-1261.9302143232599,605.1933192576225,331.0
126.0,-1260.2811643026448,624.720930888255,331.0
128.0,-1258.6321142820295,644.2485425188875,331.0
130.0,-1257.1203697425472,662.0526839363368,331.0554617117117
132.0,-1255.8058711480421,677.3809772810409,331.19059684684686
134.0,-1254.491372553537,692.709270625745,331.32573198198196
136.0,-1253.1768739590318,708.0375639704491,331.4608671171171
138.0,-1251.8623753645268,723.3658573151532,331.5960022522523
140.0,-1250.5478767700217,738.6941506598573,331.7311373873874
142.0,-1249.2333781755167,754.0224440045615,331.86627252252254
144.0,-1247.9188795810114,769.3507373492656,332.00140765765764
146.0,-1246.6043809865064,784.6790306939697,332.1365427927928
148.0,-1245.2898823920013,800.0073240386738,332.27167792792795
150.0,-1243.9753837974963,815.3356173833779,332.40681306306305
152.0,-1242.660885202991,830.663910728082,332.5419481981982
154.0,-1241.346386608486,845.9922040727861,332.6770833333333
156.0,-1240.031888013981,861.3204974174903,332.8122184684685
158.0,-1238.717389419476,876.6487907621944,332.94735360360363
160.0,-1237.2385462953032,893.3077799206148,333.0728594802772
162.0,-1235.609194000662,911.2988659927172,333.1921858733629
164.0,-1233.8161532592194,931.0223141485861,333.31139081913506
166.0,-1232.0231125177768,950.7457623044551,333.43059576490714
168.0,-1230.2300717763342,970.4692104603239,333.5498007106793
170.0,-1228.4370310348916,990.1926586161928,333.6690056564514
172.0,-1226.643990293449,1009.9161067720618,333.78821060222356
174.0,-1224.441702149626,1035.2670960894072,333.9072560759708
176.0,-1222.0100495290633,1063.772065190933,334.02621217293193
178.0,-1219.5783969085003,1092.2770342924587,334.1451682698931
180.0,-1217.1467442879375,1120.7820033939845,334.2641243668542
182.0,-1214.7150916673745,1149.28697249551,334.38308046381536
184.0,-1212.2834390468117,1177.791941597036,334.50203656077656
186.0,-1209.8517864262487,1206.2969106985615,334.6209926577377
188.0,-1207.420133805686,1234.8018798000874,334.73994875469884
190.0,-1204.988481185123,1263.306848901613,334.85890485166
192.0,-1202.55682856456,1291.8118180031388,334.9778609486211
194.0,-1200.5819274564674,1315.2932161851002,335.06234758918697
196.0,-1198.711471233479,1337.6258797199262,335.1389521356283
198.0,-1196.8410150104903,1359.9585432547522,335.21555668206963
200.0,-1195.4742036616046,1376.2613053109362,335.29210699113565
202.0,-1194.5188513585922,1387.6378631373427,335.36861299029243
204.0,-1193.5634990555795,1399.0144209637494,335.44511898944916
206.0,-1192.608146752567,1410.3909787901562,335.52162498860594
208.0,-1191.6527944495547,1421.767536616563,335.5981309877627
210.0,-1190.697442146542,1433.1440944429694,335.67463698691944
212.0,-1189.7420898435296,1444.5206522693761,335.7511429860762
214.0,-1188.7867375405172,1455.8972100957828,335.82764898523294
216.0,-1187.8313852375045,1467.2737679221896,335.9041549843897
218.0,-1186.876032934492,1478.650325748596,335.9806609835465
220.0,-1185.7637324016353,1491.3681329977837,336.08031502620753
222.0,-1184.4015673558645,1506.5980022536114,336.18774988757843
224.0,-1182.6652569964501,1525.7416431907338,336.2950898066254
226.0,-1180.9289466370358,1544.8852841278563,336.40242972567233
228.0,-1179.1926362776217,1564.0289250649787,336.5097696447193
230.0,-1177.4563259182073,1583.1725660021011,336.61710956376623
232.0,-1175.720015558793,1602.3162069392235,336.7244494828132
234.0,-1173.9837051993788,1621.459847876346,336.8317894018602
236.0,-1172.2473948399645,1640.6034888134686,336.9391293209071
238.0,-1170.4694406728179,1660.5840434262277,337.03844718765066
240.0,-1168.6369367248012,1681.6608824591422,337.1272568607609
242.0,-1166.8044327767848,1702.7377214920566,337.2160665338711
244.0,-1164.9719288287681,1723.814560524971,337.3048762069814
246.0,-1163.1394248807517,1744.8913995578855,337.39368588009165
248.0,-1161.306920932735,1765.9682385908,337.4824955532019
250.0,-1159.5420543114517,1786.6479968254282,337.57127502714155
252.0,-1157.9453754655947,1806.3403692576644,337.65997940746695
254.0,-1156.348696619738,1826.0327416899006,337.74868378779234
256.0,-1154.7520177738809,1845.7251141221368,337.83738816811774
258.0,-1152.9466536095665,1867.692486332401,337.9260732066319
260.0,-1150.8461199667345,1892.7964728469094,338.0110412247708
262.0,-1148.1970767116197,1923.4728624650686,338.0774546068506
264.0,-1145.5480334565052,1954.1492520832278,338.1438679889305
266.0,-1142.8989902013907,1984.825641701387,338.21028137101035
268.0,-1140.2499469462762,2015.5020313195462,338.2766947530902
270.0,-1137.6009036911616,2046.1784209377051,338.3431081351701
272.0,-1134.9518604360471,2076.8548105558643,338.4095215172499
274.0,-1132.3028171809326,2107.5312001740235,338.4759348993298
276.0,-1129.6537739258179,2138.2075897921827,338.54234828140966
278.0,-1127.0047306707033,2168.883979410342,338.60876166348953
280.0,-1124.3556874155888,2199.560369028501,338.67517504556935
282.0,-1121.7066441604743,2230.2367586466603,338.7415884276492
284.0,-1119.3616720148684,2257.3266695708694,338.8079331662581
286.0,-1117.5673595487585,2277.921622091037,338.8741535944984
288.0,-1115.7730470826486,2298.5165746112043,338.94037402273864
290.0,-1114.0742304935736,2318.0092206123936,339.01501885211565
292.0,-1113.2388724412037,2327.534986331106,339.1658357771261
294.0,-1112.4035143888339,2337.0607520498193,339.3166527021366
296.0,-1111.568156336464,2346.586517768532,339.46746962714707
298.0,-1110.732798284094,2356.1122834872444,339.61828655215754
300.0,-1109.8974402317242,2365.6380492059575,339.769103477168
302.0,-1109.0620821793545,2375.16381492467,339.9199204021785
304.0,-1108.2267241269847,2384.689580643383,340.07073732718897
306.0,-1107.3913660746148,2394.2153463620957,340.22155425219944
308.0,-1106.556008022245,2403.7411120808083,340.3723711772099
310.0,-1105.720649969875,2413.2668777995214,340.5231881022204
312.0,-1104.8852919175051,2422.792643518234,340.67400502723086
314.0,-1104.0499338651352,2432.3184092369465,340.82482195224134
316.0,-1103.2145758127654,2441.8441749556596,340.9756388772518
318.0,-1102.0647506730481,2454.9797875127556,341.0630809589391
320.0,-1100.8543449100766,2468.8108202906633,341.13831417152176
322.0,-1099.6439391471054,2482.6418530685705,341.2135473841044
324.0,-1098.2080043382007,2499.1574498395557,341.28875178764173
326.0,-1096.5156961130729,2518.724763692596,341.3639234420786
328.0,-1094.823387887945,2538.2920775456364,341.4390950965155
330.0,-1093.1310796628172,2557.8593913986765,341.5142667509524
332.0,-1091.4387714376894,2577.4267052517166,341.5894384053893
334.0,-1089.7464632125616,2596.9940191047567,341.66461005982615
336.0,-1088.0541549874338,2616.561332957797,341.7397817142631
